window_id,timestamp,datetime,duration,flow_count,CPWE,CPRF,RFPSD,RFBSD,CFER
131,1743373379.99189,2025-03-30 23:22:59.991890,4.111302137374878,4,1.0,1.9458555301187639,3.24037034920393,505.7281878637971,2.0
132,1743373384.103244,2025-03-30 23:23:04.103244,4.144274950027466,4,1.0,1.9303738522336653,3.24037034920393,505.7281878637971,2.0
133,1743373388.247523,2025-03-30 23:23:08.247523,4.137432813644409,4,1.0,1.9335661412114376,3.24037034920393,505.7281878637971,2.0
134,1743373392.385047,2025-03-30 23:23:12.385047,4.106655120849609,4,1.0,1.9480574249792157,3.5355339059327378,514.2693846613854,2.0
135,1743373396.491709,2025-03-30 23:23:16.491709,4.133548974990845,4,1.0,1.93538289939282,2.8284271247461903,470.57517996596465,2.0
136,1743373400.625262,2025-03-30 23:23:20.625262,4.13005805015564,4,1.0,1.9370187786340007,2.8284271247461903,470.57517996596465,2.0
137,1743373404.755511,2025-03-30 23:23:24.755511,4.058416843414307,4,1.0,1.9712120042527908,2.8284271247461903,470.57517996596465,2.0
138,1743373408.813932,2025-03-30 23:23:28.813932,4.073997974395752,4,1.0,1.9636730431086054,2.8284271247461903,470.57517996596465,2.0
139,1743373412.887936,2025-03-30 23:23:32.887936,4.091344833374023,4,1.0,1.9553472820824571,2.8284271247461903,470.57517996596465,2.0
140,1743373416.979285,2025-03-30 23:23:36.979285,4.088907957077026,4,1.0,1.9565126150990289,2.449489742783178,461.2255413569374,2.0
141,1743373421.069092,2025-03-30 23:23:41.069092,4.154103994369507,4,0.9971803988942642,1.9258063858880856,3.7416573867739413,542.6204935311604,2.0
142,1743373425.223326,2025-03-30 23:23:45.223326,4.075344085693359,4,1.0,1.963024429786011,3.7416573867739413,542.6204935311604,2.0
143,1743373429.298767,2025-03-30 23:23:49.298767,4.0761590003967285,4,1.0,1.9626319776096486,3.7416573867739413,542.6204935311604,2.0
144,1743373433.37596,2025-03-30 23:23:53.375960,4.12680983543396,4,1.0,1.938543407382073,3.7416573867739413,542.6204935311604,2.0
145,1743373437.504295,2025-03-30 23:23:57.504295,4.079723834991455,4,1.0,1.9609170433019656,3.7416573867739413,542.6204935311604,2.0
146,1743373441.586952,2025-03-30 23:24:01.586952,4.082888126373291,4,0.9971803988942642,1.9593973070984347,3.7416573867739413,542.6204935311604,2.0
147,1743373445.669932,2025-03-30 23:24:05.669932,4.084822177886963,4,0.9971803988942642,1.9584695860955001,3.24037034920393,505.7281878637971,2.0
148,1743373449.75498,2025-03-30 23:24:09.754980,4.059193849563599,4,1.0,1.9708346771514926,3.24037034920393,505.7281878637971,2.0
149,1743373453.814177,2025-03-30 23:24:13.814177,4.049145936965942,4,1.0,1.9757252824516531,3.24037034920393,505.7281878637971,2.0
